Type	Date/Time	Description
Sample	15:06:07 10/20/2023	Sample 67 acquired at 06:38:43
Annotation	15:06:07 10/20/2023	F_Hom0_04_Kai_a
Sample	15:07:21 10/20/2023	Sample 68 acquired at 06:39:57
Annotation	15:07:21 10/20/2023	F_Hom0_04_Kai_b
Sample	15:12:27 10/20/2023	Sample 69 acquired at 06:45:03
Annotation	15:12:27 10/20/2023	F_Hom0_05_Kai_a
Sample	15:13:29 10/20/2023	Sample 70 acquired at 06:46:05
Annotation	15:13:29 10/20/2023	F_Hom0_05_Kai_b
Sample	15:19:18 10/20/2023	Sample 71 acquired at 06:51:54
Annotation	15:19:18 10/20/2023	F_Hom0_06_Kai_a
Sample	15:20:15 10/20/2023	Sample 72 acquired at 06:52:51
Annotation	15:20:15 10/20/2023	F_Hom0_06_Kai_b
Sample	15:26:00 10/20/2023	Sample 73 acquired at 06:58:36
Annotation	15:26:00 10/20/2023	F_Hom0_07_Kai_a
Sample	15:27:02 10/20/2023	Sample 74 acquired at 06:59:38
Annotation	15:27:02 10/20/2023	F_Hom0_07_Kai_b
Sample	15:32:11 10/20/2023	Sample 75 acquired at 07:04:47
Annotation	15:32:11 10/20/2023	F_Hom0_08_Kai_a
Sample	15:33:32 10/20/2023	Sample 76 acquired at 07:06:08
Annotation	15:33:32 10/20/2023	F_Hom0_08_Kai_b
Sample	15:39:20 10/20/2023	Sample 77 acquired at 07:11:56
Annotation	15:39:20 10/20/2023	F_Hom0_09_Kai_a
Sample	15:40:27 10/20/2023	Sample 78 acquired at 07:13:03
Annotation	15:40:27 10/20/2023	F_Hom0_09_Kai_b
Sample	15:46:11 10/20/2023	Sample 79 acquired at 07:18:47
Annotation	15:46:11 10/20/2023	F_Hom0_10_Kai_a
Sample	15:47:09 10/20/2023	Sample 80 acquired at 07:19:45
Annotation	15:47:09 10/20/2023	F_Hom0_10_Kai_b
Sample	15:50:33 10/20/2023	Sample 81 acquired at 07:23:09
Annotation	15:50:33 10/20/2023	Cyclo_clearside_3x10s_400mW_201023_endofday_withlamp_1
Sample	15:51:38 10/20/2023	Sample 82 acquired at 07:24:14
Annotation	15:51:38 10/20/2023	Cyclo_clearside_3x10s_400mW_201023_endofday_withlamp_2
Sample	15:52:27 10/20/2023	Sample 83 acquired at 07:25:03
Annotation	15:52:27 10/20/2023	Cyclo_clearside_3x10s_400mW_201023_endofday_withlamp_3
Annotation	15:53:58 10/20/2023	Manually changed Exposure time to 5 seconds and Scans to 4.
Sample	15:55:43 10/20/2023	Sample 84 acquired at 07:28:19
Annotation	15:55:43 10/20/2023	Cyclo_clearside_4x05s_400mW_201023_endofday_withlamp_1
Sample	15:56:53 10/20/2023	Sample 85 acquired at 07:29:29
Annotation	15:56:53 10/20/2023	Cyclo_clearside_4x05s_400mW_201023_endofday_withlamp_2
Sample	15:58:10 10/20/2023	Sample 86 acquired at 07:30:46
Annotation	15:58:10 10/20/2023	Cyclo_clearside_4x05s_400mW_201023_endofday_withlamp_3
Annotation	15:58:40 10/20/2023	Manually changed Exposure time to 2 seconds and Scans to 5.
Sample	15:59:44 10/20/2023	Sample 87 acquired at 07:32:20
Annotation	15:59:44 10/20/2023	Cyclo_clearside_5x02s_400mW_201023_endofday_withlamp_1
Sample	16:00:30 10/20/2023	Sample 88 acquired at 07:33:06
Annotation	16:00:30 10/20/2023	Cyclo_clearside_5x02s_400mW_201023_endofday_withlamp_2
Sample	16:01:50 10/20/2023	Sample 89 acquired at 07:34:26
Annotation	16:01:50 10/20/2023	Cyclo_clearside_5x02s_400mW_201023_endofday_withlamp_3
